name,closedday,address,codepostal,ville
Civette T¨¦l¨¨graphe,Dimanche,1 R. DE ROMAINVILLE,75019,PARIS
TabacPtedesLilas,Dimanche,306 R. DE BELLEVILLE,75020,PARIS
Le Cantal,Dimanche,20 R. DEVERIA,75020,PARIS
Le Saint-Fargeau,Dimanche,108 AV.GAMBETTA,75020,PARIS
L¡®obelisque,Dimanche,45 R. SAINT-BLAISE,75020,PARIS
Tabac du Clos,Dimanche,5 PL. DE LA MOGOTTE,77200,TORCY
TABAC DE LA GARE,Dimanche,2 PL. AURIBAULT,77340,PONTAULT-COMBAULT
Le Cl¨¦menceau,,4 QUAI GEORGES CL?MENCEAU,78380,BOUGIVAL
La Civette du Val,Dimanche,100 AV. GEORGES CLEMENCEAU,78500,SARTROUVILLE
Tabac des Blanches,,33 BD HENRI BARBUSSE,78800,HOUILLES
Le Monaco,Dimanche,52-54 R. DE PDT FRAN?OIS MITTERAND,91160,LONGJUMEAU
Le Mozart,Dimanche,105 AV. DU 18 AVRIL,91200,ATHIS-MONS
Le Balto,Mardi,28 GRANDE RUE,91260,JUVISY-SUR-ORGE
Horizon 3000,,1 AV DE L EUROPE -  CCIAL CORA,91300,MASSY
Civette,,18 BIS BD MAR?CHAL JUIN,91370,VERRI?RES-LE-BUISSON
Le Calumet,Dimanche,36 AV. MAZARIN C.C.DE BEL ABORD,91380,CHILLY-MAZARIN
Tabac - Presse,Dimanche,1 PL. DE LA LIB?RATION -C.CIAL,91380,CHILLY-MAZARIN
Librairie,Dimanche,3 PL. HENRI BARBUSSE,91550,PARAY-VIEILLE-POSTE
Le Chiquito,Dimanche,104 R. DE BILLANCOURT,92100,BOULOGNE-BILLANCOURT
Le Royal Tabac,Dimanche,99 AV. EDOUARD VAILLANT,92100,BOULOGNE-BILLANCOURT
Le Balto,Dimanche,82 R. DU CH?TEAU,92100,BOULOGNE-BILLANCOURT
Tabac - Presse,Dimanche,54 R. MARCEL BONTEMPS,92100,BOULOGNE-BILLANCOURT
Le Maryland,Dimanche,7 BD JEAN JAUR?S,92110,CLICHY
Le Breizh,Dimanche,8 R. GEORGES BOISSEAU,92110,CLICHY
Tabac R¨¦publique,Dimanche,59 BD DU GAL LECLERC,92110,CLICHY
Tabac Le Verdon,Dimanche,127 BIS AV. VERDIER,92120,MONTROUGE
LA ROND POINT,,18 PL. JEAN JAURES,92120,MONTROUGE
