unit,x,y,food,frozen food,office supplies,furniture,daily necessities
A428,8,3,0,0,0,0,0
A429,9,3,0,0,0,0,0
A430,10,3,0,0,0,0,0
A431,11,3,0,0,0,0,0
A432,12,3,0,0,0,0,0
A433,13,3,0,0,0,0,0
A434,14,3,0,0,0,0,0
A435,15,3,0,0,0,0,0
A436,16,3,0,0,0,0,0
A437,17,3,0,0,0,0,0
A438,18,3,0,0,0,0,0
A439,19,3,0,0,0,0,0
A440,20,3,0,0,0,0,0
A441,21,3,0,0,0,0,0
A442,22,3,0,0,0,0,0
A443,23,3,0,0,0,0,0
A444,24,3,0,0,0,0,0
A445,25,3,0,0,0,0,0
A446,26,3,0,0,0,0,0
A447,27,3,0,0,0,0,0
A448,28,3,0,0,0,0,0
A449,29,3,0,0,0,0,0
A450,30,3,0,0,0,0,0
A451,31,3,0,0,0,0,0
A452,32,3,0,0,0,0,0
A453,33,3,0,0,0,0,0
A454,34,3,0,0,0,0,0
A455,35,3,0,0,0,0,0
A456,36,3,0,0,0,0,0
A457,37,3,0,0,0,0,0
A458,38,3,0,0,0,0,0
A459,39,3,0,0,0,0,0
A460,40,3,0,0,0,0,0
A461,41,3,0,0,0,0,0
A462,42,3,0,0,0,0,0
A463,43,3,0,0,0,0,0
A464,44,3,0,0,0,0,0
A465,45,3,0,0,0,0,0
A466,46,3,0,0,0,0,0
A467,47,3,0,0,0,0,0
A468,48,3,0,0,0,0,0
A469,49,3,0,0,0,0,0
A470,50,3,0,0,0,0,0
A471,51,3,0,0,0,0,0
A472,52,3,0,0,0,0,0
A473,53,3,0,0,0,0,0
A474,54,3,0,0,0,0,0
A475,55,3,0,0,0,0,0
A476,56,3,0,0,0,0,0
A477,57,3,0,0,0,0,0
A478,58,3,0,0,0,0,0
A479,59,3,0,0,0,0,0
A480,60,3,0,0,0,0,0
A481,61,3,0,0,0,0,0
A482,62,3,0,0,0,0,0
A483,63,3,0,0,0,0,0
A484,64,3,0,0,0,0,0
A485,65,3,0,0,0,0,0
A486,66,3,0,0,0,0,0
A487,67,3,0,0,0,0,0
A488,68,3,0,0,0,0,0
A489,69,3,0,0,0,0,0
A490,70,3,0,0,0,0,0
A491,71,3,0,0,0,0,0
A492,72,3,0,0,0,0,0
A493,73,3,0,0,0,0,0
A494,74,3,0,0,0,0,0
A495,75,3,0,0,0,0,0
A496,76,3,0,0,0,0,0
A497,77,3,0,0,0,0,0
A498,78,3,0,0,0,0,0
A499,79,3,0,0,0,0,0
A500,80,3,0,0,0,0,0
A501,81,3,0,0,0,0,0
A502,82,3,0,0,0,0,0
A503,83,3,0,0,0,0,0
A504,84,3,0,0,0,0,0
A505,85,3,0,0,0,0,0
A506,86,3,0,0,0,0,0
A507,87,3,0,0,0,0,0
A508,88,3,0,0,0,0,0
A509,89,3,0,0,0,0,0
A510,90,3,0,0,0,0,0
A511,91,3,0,0,0,0,0
A512,92,3,0,0,0,0,0
A513,93,3,0,0,0,0,0
A514,94,3,0,0,0,0,0
A515,95,3,0,0,0,0,0
A516,96,3,0,0,0,0,0
A517,97,3,0,0,0,0,0
A518,98,3,0,0,0,0,0
A519,99,3,0,0,0,0,0
A520,100,3,0,0,0,0,0
A521,101,3,0,0,0,0,0
A522,102,3,0,0,0,0,0
A523,103,3,0,0,0,0,0
A524,104,3,0,0,0,0,0
A525,105,3,0,0,0,0,0
A526,106,3,0,0,0,0,0
A527,107,3,0,0,0,0,0
A528,108,3,0,0,0,0,0
A529,109,3,0,0,0,0,0
A530,110,3,0,0,0,0,0
A531,111,3,0,0,0,0,0
A532,112,3,0,0,0,0,0
A533,113,3,0,0,0,0,0
A534,114,3,0,0,0,0,0
A535,115,3,0,0,0,0,0
A536,116,3,0,0,0,0,0
A537,117,3,0,0,0,0,0
A538,118,3,0,0,0,0,0
A539,119,3,0,0,0,0,0
A540,120,3,0,0,0,0,0
A541,121,3,0,0,0,0,0
A542,122,3,0,0,0,0,0
A543,123,3,0,0,0,0,0
A544,124,3,0,0,0,0,0
A545,125,3,0,0,0,0,0
A546,126,3,0,0,0,0,0
A547,127,3,0,0,0,0,0
A548,128,3,0,0,0,0,0
A549,129,3,0,0,0,0,0
A550,130,3,0,0,0,0,0
A551,131,3,0,0,0,0,0
A552,132,3,0,0,0,0,0
A553,133,3,0,0,0,0,0
A554,134,3,0,0,0,0,0
A555,135,3,0,0,0,0,0
A556,136,3,0,0,0,0,0
A557,137,3,0,0,0,0,0
A558,138,3,0,0,0,0,0
A559,139,3,0,0,0,0,0
A560,140,3,0,0,0,0,0
