x,y
175,51
176,51
177,51
178,51
179,51
188,51
193,51
194,51
195,51
47,52
48,52
49,52
50,52
51,52
55,52
56,52
59,52
60,52
62,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
96,52
101,52
102,52
103,52
104,52
106,52
107,52
108,52
109,52
110,52
115,52
116,52
117,52
124,52
125,52
126,52
130,52
131,52
132,52
133,52
134,52
135,52
137,52
138,52
139,52
140,52
141,52
149,52
159,52
160,52
172,52
173,52
186,52
187,52
188,52
189,52
190,52
191,52
195,52
196,52
197,52
50,53
53,53
57,53
58,53
59,53
60,53
71,53
80,53
81,53
82,53
83,53
84,53
85,53
86,53
87,53
88,53
89,53
90,53
91,53
96,53
101,53
102,53
103,53
104,53
106,53
107,53
108,53
109,53
110,53
116,53
117,53
130,53
131,53
132,53
133,53
134,53
135,53
147,53
148,53
149,53
150,53
151,53
172,53
173,53
174,53
176,53
182,53
186,53
187,53
188,53
189,53
190,53
191,53
192,53
193,53
194,53
195,53
52,54
53,54
54,54
55,54
69,54
70,54
79,54
80,54
81,54
82,54
83,54
84,54
85,54
86,54
87,54
88,54
89,54
90,54
91,54
92,54
102,54
103,54
121,54
122,54
134,54
135,54
141,54
142,54
144,54
145,54
146,54
150,54
151,54
160,54
161,54
172,54
173,54
174,54
175,54
176,54
177,54
186,54
187,54
191,54
193,54
4,55
5,55
6,55
7,55
8,55
9,55
10,55
11,55
12,55
13,55
14,55
15,55
16,55
65,55
66,55
69,55
78,55
79,55
80,55
81,55
82,55
83,55
84,55
85,55
86,55
87,55
88,55
89,55
90,55
91,55
92,55
93,55
113,55
121,55
122,55
124,55
125,55
128,55
129,55
134,55
135,55
137,55
138,55
141,55
142,55
144,55
145,55
146,55
153,55
154,55
160,55
161,55
162,55
163,55
164,55
172,55
173,55
174,55
175,55
176,55
177,55
186,55
187,55
191,55
193,55
4,56
5,56
6,56
7,56
8,56
9,56
10,56
11,56
12,56
13,56
14,56
15,56
16,56
65,56
66,56
69,56
78,56
79,56
80,56
81,56
82,56
83,56
84,56
85,56
86,56
87,56
88,56
89,56
90,56
91,56
92,56
93,56
113,56
121,56
122,56
124,56
125,56
128,56
129,56
134,56
135,56
137,56
138,56
141,56
142,56
144,56
145,56
146,56
153,56
154,56
161,56
162,56
163,56
173,56
174,56
175,56
176,56
183,56
184,56
187,56
191,56
193,56
4,57
5,57
6,57
7,57
8,57
9,57
10,57
11,57
12,57
13,57
14,57
15,57
16,57
63,57
65,57
